n,estimate,absolute_error,theoretical_sd
10,3.2000000000,0.0584073464,0.5193039778
17,2.8235294118,0.3180632418,0.3982879695
31,3.6129032258,0.4713105722,0.2949448397
56,2.9285714286,0.2130212250,0.2194459832
100,2.9200000000,0.2215926536,0.1642183368
177,3.0734463277,0.0681463259,0.1234340606
316,3.1392405063,0.0023521473,0.0923800319
562,3.1387900356,0.0028026180,0.0692713245
1000,3.1160000000,0.0255926536,0.0519303978
1778,3.0978627672,0.0437298864,0.0389453643
3162,3.1549652119,0.0133725583,0.0292038908
5623,3.1548995198,0.0133068662,0.0218996719
10000,3.1476000000,0.0060073464,0.0164218337
17782,3.1524013047,0.0108086511,0.0123149129
31622,3.1512238315,0.0096311779,0.0092347891
56234,3.1513319344,0.0097392808,0.0069250380
100000,3.1424800000,0.0008873464,0.0051930398
177827,3.1340797517,0.0075129019,0.0038942408
316227,3.1402631654,0.0013294882,0.0029202644
562341,3.1412826025,0.0003100510,0.0021898873
1000000,3.1415000000,0.0000926536,0.0016421834
1778279,3.1442355221,0.0026428685,0.0012314639
3162277,3.1433539820,0.0017613284,0.0009234677
5623413,3.1414864958,0.0001061578,0.0006925030
10000000,3.1414084000,0.0001842536,0.0005193040
